Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Area Count,Crop Flow(bu/h),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Moisture(%),Speed(mph),Swath Width(ft),Yield (Dry)(bu/ac),Yield (Wet)(bu/ac),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac)
-86.19063678,40.98245122,AULT,HOME,BACK LANE44,On,1270.5,21.18,7/9/2020,Yes,807.16,12.60,2.778,32.67,115.47,115.47,6928.2,6928.2
-86.19062240,40.98245316,AULT,HOME,BACK LANE44,On,1420.9,23.68,7/9/2020,Yes,807.26,12.60,2.698,32.79,132.51,132.51,7950.8,7950.8
-86.19060798,40.98245519,AULT,HOME,BACK LANE44,On,1398.3,23.31,7/9/2020,Yes,807.28,12.20,2.740,33.00,127.58,127.58,7654.8,7654.8
-86.19059359,40.98245703,AULT,HOME,BACK LANE44,On,1341.6,22.36,7/9/2020,Yes,807.25,12.20,2.772,33.24,120.14,120.14,7208.1,7208.1
-86.19057923,40.98245865,AULT,HOME,BACK LANE44,On,1388.3,23.14,7/9/2020,Yes,807.27,12.30,2.693,33.36,127.46,127.46,7647.9,7647.9
-86.19056485,40.98246027,AULT,HOME,BACK LANE44,On,1318.4,21.97,7/9/2020,Yes,807.34,12.40,2.772,33.38,117.59,117.59,7055.2,7055.2
-86.19055063,40.98246184,AULT,HOME,BACK LANE44,On,1232.9,20.55,7/9/2020,Yes,807.34,12.30,2.713,33.39,112.27,112.27,6736.1,6736.1
-86.19053640,40.98246340,AULT,HOME,BACK LANE44,On,1245.0,20.75,7/9/2020,Yes,807.36,12.10,2.742,33.40,112.15,112.15,6728.9,6728.9
-86.19052189,40.98246512,AULT,HOME,BACK LANE44,On,1424.3,23.74,7/9/2020,Yes,807.38,12.30,2.751,33.39,127.90,127.90,7673.7,7673.7
-86.19050768,40.98246663,AULT,HOME,BACK LANE44,On,1379.4,22.99,7/9/2020,Yes,807.45,12.50,2.772,33.44,122.77,122.77,7366.2,7366.2
-86.19049305,40.98246811,AULT,HOME,BACK LANE44,On,1252.1,20.87,7/9/2020,Yes,807.49,12.60,2.725,33.42,113.44,113.44,6806.5,6806.5
-86.19047878,40.98246948,AULT,HOME,BACK LANE44,On,1342.4,22.37,7/9/2020,Yes,807.52,12.10,2.807,33.38,118.20,118.20,7091.9,7091.9
-86.19046451,40.98247099,AULT,HOME,BACK LANE44,On,1204.2,20.07,7/9/2020,Yes,807.56,12.00,2.693,33.26,110.89,110.89,6653.3,6653.3
-86.19044986,40.98247268,AULT,HOME,BACK LANE44,On,1383.6,23.06,7/9/2020,Yes,807.59,12.10,2.736,33.22,125.59,125.59,7535.4,7535.4
-86.19043525,40.98247426,AULT,HOME,BACK LANE44,On,1292.9,21.55,7/9/2020,Yes,807.67,12.10,2.760,33.34,115.91,115.91,6954.6,6954.6
-86.19042111,40.98247608,AULT,HOME,BACK LANE44,On,1424.1,23.74,7/9/2020,Yes,807.68,12.00,2.725,33.32,129.41,129.41,7764.4,7764.4
-86.19040682,40.98247792,AULT,HOME,BACK LANE44,On,1259.9,21.00,7/9/2020,Yes,807.68,12.50,2.769,33.38,112.45,112.45,6747.2,6747.2
-86.19039260,40.98247962,AULT,HOME,BACK LANE44,On,1293.7,21.56,7/9/2020,Yes,807.72,12.60,2.758,33.43,115.75,115.75,6944.8,6944.8
-86.19037833,40.98248147,AULT,HOME,BACK LANE44,On,1247.6,20.79,7/9/2020,Yes,807.81,12.80,2.729,33.43,112.81,112.81,6768.5,6768.5
-86.19036413,40.98248329,AULT,HOME,BACK LANE44,On,1264.3,21.07,7/9/2020,Yes,807.79,12.80,2.803,33.49,111.10,111.10,6666.1,6666.1
-86.19034982,40.98248496,AULT,HOME,BACK LANE44,On,1332.4,22.21,7/9/2020,Yes,807.87,12.40,2.687,33.54,121.99,121.99,7319.6,7319.6
-86.19033538,40.98248665,AULT,HOME,BACK LANE44,On,1188.0,19.80,7/9/2020,Yes,807.88,12.50,2.756,33.53,106.06,106.06,6363.7,6363.7
-86.19032109,40.98248831,AULT,HOME,BACK LANE44,On,1328.6,22.14,7/9/2020,Yes,807.99,12.70,2.731,33.47,119.89,119.89,7193.7,7193.7
-86.19030673,40.98248972,AULT,HOME,BACK LANE44,On,1226.9,20.45,7/9/2020,Yes,808.02,12.80,2.769,33.34,109.62,109.62,6577.3,6577.3
-86.19029246,40.98249106,AULT,HOME,BACK LANE44,On,1377.9,22.97,7/9/2020,Yes,808.06,12.50,2.722,33.14,126.02,126.02,7561.0,7561.0
-86.19027790,40.98249221,AULT,HOME,BACK LANE44,On,1315.1,21.92,7/9/2020,Yes,808.12,12.30,2.772,32.90,118.99,118.99,7139.5,7139.5
-86.19026350,40.98249329,AULT,HOME,BACK LANE44,On,1330.7,22.18,7/9/2020,Yes,808.31,12.40,2.747,32.56,122.76,122.76,7365.8,7365.8
-86.19024905,40.98249439,AULT,HOME,BACK LANE44,On,1234.7,20.58,7/9/2020,Yes,808.28,12.50,2.747,32.17,115.29,115.29,6917.4,6917.4
-86.19023431,40.98249545,AULT,HOME,BACK LANE44,On,1177.2,19.62,7/9/2020,Yes,808.20,12.70,2.747,31.77,111.27,111.27,6676.1,6676.1
-86.19021979,40.98249637,AULT,HOME,BACK LANE44,On,1115.1,18.58,7/9/2020,Yes,808.17,12.20,2.767,31.36,106.00,106.00,6359.9,6359.9
-86.19020510,40.98249717,AULT,HOME,BACK LANE44,On,1133.3,18.89,7/9/2020,Yes,808.13,12.10,2.763,30.93,109.42,109.42,6564.9,6564.9
-86.19019051,40.98249789,AULT,HOME,BACK LANE44,On,1110.4,18.51,7/9/2020,Yes,808.11,12.20,2.772,30.53,108.25,108.25,6495.3,6495.3
-86.19017618,40.98249828,AULT,HOME,BACK LANE44,On,1162.8,19.38,7/9/2020,Yes,808.15,12.30,2.745,30.10,116.11,116.11,6966.5,6966.5
-86.19016160,40.98249882,AULT,HOME,BACK LANE44,On,1146.6,19.11,7/9/2020,Yes,808.09,12.20,2.727,29.61,117.17,117.17,7030.4,7030.4
-86.19014692,40.98249917,AULT,HOME,BACK LANE44,On,1058.9,17.65,7/9/2020,Yes,808.10,12.40,2.767,29.08,108.56,108.56,6513.8,6513.8
-86.19013207,40.98249962,AULT,HOME,BACK LANE44,On,1056.2,17.60,7/9/2020,Yes,808.05,12.60,2.760,28.53,110.64,110.64,6638.3,6638.3
-86.19011732,40.98250003,AULT,HOME,BACK LANE44,On,1147.0,19.12,7/9/2020,Yes,808.01,12.80,2.787,27.96,121.41,121.41,7284.8,7284.8
-86.19010228,40.98250037,AULT,HOME,BACK LANE44,On,1078.9,17.98,7/9/2020,Yes,808.10,12.90,2.796,27.40,116.16,116.16,6969.7,6969.7
-86.19008594,40.98250063,AULT,HOME,BACK LANE44,On,1092.4,18.21,7/9/2020,Yes,808.04,12.40,3.024,26.82,111.11,111.11,6666.9,6666.9
-86.19006942,40.98250079,AULT,HOME,BACK LANE44,On,1122.7,18.71,7/9/2020,Yes,808.07,12.20,3.089,26.14,114.71,114.71,6882.5,6882.5
-86.19005205,40.98250115,AULT,HOME,BACK LANE44,On,1134.1,18.90,7/9/2020,Yes,808.06,12.60,3.255,25.41,113.12,113.12,6787.2,6787.2
-86.19003448,40.98250129,AULT,HOME,BACK LANE44,On,1120.2,18.67,7/9/2020,Yes,808.10,12.60,3.371,24.81,110.52,110.52,6631.1,6631.1
-86.19001508,40.98250145,AULT,HOME,BACK LANE44,On,1179.2,19.65,7/9/2020,Yes,808.08,12.40,3.499,24.27,114.58,114.58,6874.8,6874.8
-86.18999596,40.98250150,AULT,HOME,BACK LANE44,On,1052.5,17.54,7/9/2020,Yes,808.04,12.50,3.613,23.76,101.15,101.15,6068.8,6068.8
-86.18997715,40.98250159,AULT,HOME,BACK LANE44,On,1117.9,18.63,7/9/2020,Yes,808.11,12.60,3.590,23.29,110.28,110.28,6616.6,6616.6
-86.18995806,40.98250180,AULT,HOME,BACK LANE44,On,1177.2,19.62,7/9/2020,Yes,808.15,12.70,3.624,22.89,117.10,117.10,7025.9,7025.9
-86.18993878,40.98250200,AULT,HOME,BACK LANE44,On,1040.9,17.35,7/9/2020,Yes,808.15,12.80,3.619,22.65,104.76,104.76,6285.8,6285.8
-86.18991938,40.98250200,AULT,HOME,BACK LANE44,On,945.22,15.75,7/9/2020,Yes,808.11,12.40,3.653,22.40,95.29,95.29,5717.7,5717.7
-86.18990000,40.98250216,AULT,HOME,BACK LANE44,On,1053.1,17.55,7/9/2020,Yes,808.08,12.30,3.642,22.09,108.00,108.00,6479.9,6479.9
-86.18988078,40.98250235,AULT,HOME,BACK LANE44,On,1046.4,17.44,7/9/2020,Yes,808.10,12.40,3.626,21.82,109.11,109.11,6546.4,6546.4
-86.18986134,40.98250246,AULT,HOME,BACK LANE44,On,1083.1,18.05,7/9/2020,Yes,808.02,12.60,3.644,21.63,113.34,113.34,6800.6,6800.6
-86.18984214,40.98250270,AULT,HOME,BACK LANE44,On,1146.1,19.10,7/9/2020,Yes,808.01,12.40,3.626,21.40,121.87,121.87,7312.0,7312.0
-86.18982280,40.98250307,AULT,HOME,BACK LANE44,On,1071.2,17.85,7/9/2020,Yes,808.00,12.40,3.660,21.16,114.10,114.10,6845.8,6845.8
-86.18980354,40.98250322,AULT,HOME,BACK LANE44,On,1077.3,17.96,7/9/2020,Yes,807.96,12.50,3.713,21.08,113.53,113.53,6812.0,6812.0
-86.18978438,40.98250343,AULT,HOME,BACK LANE44,On,1041.1,17.35,7/9/2020,Yes,807.99,12.80,3.550,21.00,115.23,115.23,6913.9,6913.9
-86.18976509,40.98250383,AULT,HOME,BACK LANE44,On,1012.8,16.88,7/9/2020,Yes,807.94,12.80,3.626,20.79,110.85,110.85,6651.0,6651.0
-86.18974624,40.98250454,AULT,HOME,BACK LANE44,On,1017.0,16.95,7/9/2020,Yes,807.98,12.60,3.635,20.69,111.56,111.56,6693.7,6693.7
-86.18972698,40.98250489,AULT,HOME,BACK LANE44,On,1019.7,16.99,7/9/2020,Yes,808.00,12.40,3.626,20.72,111.98,111.98,6718.5,6718.5
-86.18970788,40.98250516,AULT,HOME,BACK LANE44,On,1019.7,16.99,7/9/2020,Yes,808.01,12.40,3.635,20.61,112.29,112.29,6737.2,6737.2
-86.18968884,40.98250545,AULT,HOME,BACK LANE44,On,1048.3,17.47,7/9/2020,Yes,808.05,12.60,3.637,20.49,116.03,116.03,6962.0,6962.0
-86.18966986,40.98250571,AULT,HOME,BACK LANE44,On,930.71,15.51,7/9/2020,Yes,808.10,12.80,3.608,20.44,104.10,104.10,6245.9,6245.9
-86.18965078,40.98250594,AULT,HOME,BACK LANE44,On,1021.4,17.02,7/9/2020,Yes,808.21,12.60,3.637,20.41,113.52,113.52,6811.4,6811.4
-86.18963172,40.98250619,AULT,HOME,BACK LANE44,On,978.75,16.31,7/9/2020,Yes,808.24,12.60,3.653,20.35,108.60,108.60,6516.0,6516.0
-86.18961257,40.98250659,AULT,HOME,BACK LANE44,On,930.30,15.51,7/9/2020,Yes,808.23,12.70,3.597,20.31,105.07,105.07,6304.0,6304.0
-86.18959328,40.98250684,AULT,HOME,BACK LANE44,On,979.05,16.32,7/9/2020,Yes,808.26,13.00,3.606,20.38,109.89,109.89,6593.4,6593.4
-86.18957384,40.98250673,AULT,HOME,BACK LANE44,On,1012.8,16.88,7/9/2020,Yes,808.27,12.90,3.626,20.40,112.95,112.95,6777.1,6777.1
-86.18955484,40.98250688,AULT,HOME,BACK LANE44,On,902.60,15.04,7/9/2020,Yes,808.33,12.40,3.637,20.27,100.99,100.99,6059.3,6059.3
-86.18953561,40.98250699,AULT,HOME,BACK LANE44,On,953.35,15.89,7/9/2020,Yes,808.33,12.20,3.619,20.24,107.39,107.39,6443.2,6443.2
-86.18951616,40.98250720,AULT,HOME,BACK LANE44,On,1117.7,18.63,7/9/2020,Yes,808.31,12.50,3.653,20.19,125.05,125.05,7502.8,7502.8
-86.18949710,40.98250737,AULT,HOME,BACK LANE44,On,953.76,15.90,7/9/2020,Yes,808.35,12.60,3.635,20.16,107.37,107.37,6442.2,6442.2
-86.18947769,40.98250754,AULT,HOME,BACK LANE44,On,1006.4,16.77,7/9/2020,Yes,808.32,12.40,3.631,20.11,113.73,113.73,6824.1,6824.1
-86.18945854,40.98250770,AULT,HOME,BACK LANE44,On,973.32,16.22,7/9/2020,Yes,808.32,12.40,3.597,20.05,111.36,111.36,6681.8,6681.8
-86.18943933,40.98250773,AULT,HOME,BACK LANE44,On,1025.3,17.09,7/9/2020,Yes,808.27,12.50,3.682,20.04,114.62,114.62,6877.3,6877.3
-86.18942188,40.98250799,AULT,HOME,BACK LANE44,On,850.87,14.18,7/9/2020,Yes,808.28,12.80,3.393,19.94,103.74,103.74,6224.2,6224.2
-86.18940661,40.98250829,AULT,HOME,BACK LANE44,On,654.20,10.90,7/9/2020,Yes,808.28,12.80,3.027,19.94,89.41,89.41,5364.7,5364.7
-86.18939083,40.98250854,AULT,HOME,BACK LANE44,On,766.48,12.77,7/9/2020,Yes,808.23,12.30,2.955,20.06,106.70,106.70,6401.9,6401.9
-86.18937516,40.98250881,AULT,HOME,BACK LANE44,On,900.60,15.01,7/9/2020,Yes,808.24,12.10,2.919,20.17,126.18,126.18,7571.0,7571.0
-86.18935982,40.98250906,AULT,HOME,BACK LANE44,On,928.79,15.48,7/9/2020,Yes,808.23,12.50,2.955,20.31,127.69,127.69,7661.1,7661.1
-86.18934434,40.98250937,AULT,HOME,BACK LANE44,On,962.39,16.04,7/9/2020,Yes,808.23,12.80,2.928,20.43,132.75,132.75,7964.7,7964.7
-86.18932900,40.98250996,AULT,HOME,BACK LANE44,On,816.49,13.61,7/9/2020,Yes,808.25,12.50,2.935,20.57,111.59,111.59,6695.6,6695.6
-86.18931369,40.98251014,AULT,HOME,BACK LANE44,On,867.65,14.46,7/9/2020,Yes,808.30,12.20,2.953,20.78,116.66,116.66,6999.4,6999.4
-86.18929987,40.98251034,AULT,HOME,BACK LANE44,On,776.42,12.94,7/9/2020,Yes,808.37,12.40,2.749,20.83,111.84,111.84,6710.2,6710.2
-86.18928874,40.98251046,AULT,HOME,BACK LANE44,On,522.63,8.710,7/9/2020,Yes,808.39,12.70,2.279,20.90,90.52,90.52,5431.4,5431.4
-86.18927677,40.98251041,AULT,HOME,BACK LANE44,On,604.61,10.08,7/9/2020,Yes,808.37,12.70,2.212,20.94,107.68,107.68,6460.9,6460.9
-86.18926492,40.98251052,AULT,HOME,BACK LANE44,On,596.09,9.935,7/9/2020,Yes,808.42,11.90,2.235,20.92,105.18,105.18,6311.0,6311.0
-86.18925295,40.98251043,AULT,HOME,BACK LANE44,On,794.69,13.24,7/9/2020,Yes,808.39,12.20,2.206,20.96,141.79,141.79,8507.2,8507.2
-86.18923997,40.98251047,AULT,HOME,BACK LANE44,On,722.19,12.04,7/9/2020,Yes,808.30,12.50,2.306,20.94,123.40,123.40,7404.1,7404.1
-86.18922685,40.98251051,AULT,HOME,BACK LANE44,On,700.31,11.67,7/9/2020,Yes,808.27,12.40,2.440,20.95,112.98,112.98,6778.6,6778.6
-86.18921272,40.98251077,AULT,HOME,BACK LANE44,On,837.22,13.95,7/9/2020,Yes,808.15,12.10,2.561,20.99,128.49,128.49,7709.5,7709.5
-86.18919902,40.98251098,AULT,HOME,BACK LANE44,On,774.09,12.90,7/9/2020,Yes,808.08,12.50,2.568,21.09,117.90,117.90,7074.1,7074.1
-86.18918507,40.98251132,AULT,HOME,BACK LANE44,On,801.87,13.36,7/9/2020,Yes,807.98,12.80,2.593,21.19,120.43,120.43,7225.9,7225.9
-86.18917169,40.98251134,AULT,HOME,BACK LANE44,On,751.38,12.52,7/9/2020,Yes,807.91,12.50,2.564,21.35,113.23,113.23,6794.1,6794.1
-86.18915809,40.98251166,AULT,HOME,BACK LANE44,On,765.55,12.76,7/9/2020,Yes,807.86,12.20,2.572,21.40,114.70,114.70,6882.2,6882.2
-86.18914463,40.98251182,AULT,HOME,BACK LANE44,On,844.57,14.08,7/9/2020,Yes,807.82,12.70,2.572,21.56,125.64,125.64,7538.4,7538.4
-86.18913131,40.98251199,AULT,HOME,BACK LANE44,On,656.35,10.94,7/9/2020,Yes,807.83,12.80,2.588,21.64,96.68,96.68,5800.9,5800.9
-86.18911772,40.98251218,AULT,HOME,BACK LANE44,On,731.96,12.20,7/9/2020,Yes,807.79,12.20,2.570,21.73,108.11,108.11,6486.5,6486.5
-86.18910402,40.98251236,AULT,HOME,BACK LANE44,On,925.40,15.42,7/9/2020,Yes,807.75,12.10,2.593,21.84,134.85,134.85,8091.0,8091.0
-86.18909059,40.98251225,AULT,HOME,BACK LANE44,On,845.07,14.08,7/9/2020,Yes,807.73,12.30,2.570,21.92,123.73,123.73,7424.0,7424.0
-86.18907671,40.98251223,AULT,HOME,BACK LANE44,On,877.40,14.62,7/9/2020,Yes,807.66,12.30,2.588,21.90,127.73,127.73,7663.8,7663.8
-86.18906325,40.98251203,AULT,HOME,BACK LANE44,On,784.12,13.07,7/9/2020,Yes,807.61,11.90,2.579,21.91,114.48,114.48,6868.7,6868.7
-86.18904946,40.98251185,AULT,HOME,BACK LANE44,On,890.75,14.85,7/9/2020,Yes,807.60,11.90,2.559,21.86,131.34,131.34,7880.6,7880.6
-86.18903574,40.98251149,AULT,HOME,BACK LANE44,On,754.77,12.58,7/9/2020,Yes,807.53,12.40,2.595,21.80,110.06,110.06,6603.4,6603.4
-86.18902203,40.98251131,AULT,HOME,BACK LANE44,On,901.48,15.02,7/9/2020,Yes,807.48,12.30,2.566,21.67,133.76,133.76,8025.8,8025.8
-86.18900816,40.98251124,AULT,HOME,BACK LANE44,On,1022.9,17.05,7/9/2020,Yes,807.36,12.30,2.570,21.59,152.07,152.07,9123.9,9123.9
-86.18899455,40.98251127,AULT,HOME,BACK LANE44,On,1072.6,17.88,7/9/2020,Yes,807.30,12.50,2.593,21.55,158.42,158.42,9505.2,9505.2
-86.18898056,40.98251109,AULT,HOME,BACK LANE44,On,879.66,14.66,7/9/2020,Yes,807.23,12.80,2.604,21.51,129.60,129.60,7776.0,7776.0
-86.18896665,40.98251121,AULT,HOME,BACK LANE44,On,879.21,14.65,7/9/2020,Yes,807.15,12.70,2.568,21.41,131.92,131.92,7915.4,7915.4
-86.18895314,40.98251154,AULT,HOME,BACK LANE44,On,836.33,13.94,7/9/2020,Yes,807.09,12.20,2.568,21.48,125.09,125.09,7505.2,7505.2
-86.18893981,40.98251184,AULT,HOME,BACK LANE44,On,1007.4,16.79,7/9/2020,Yes,807.11,12.30,2.566,21.62,149.82,149.82,8989.4,8989.4
-86.18892677,40.98251194,AULT,HOME,BACK LANE44,On,889.30,14.82,7/9/2020,Yes,807.15,12.50,2.555,21.76,131.99,131.99,7919.6,7919.6
-86.18891364,40.98251223,AULT,HOME,BACK LANE44,On,746.41,12.44,7/9/2020,Yes,807.17,12.20,2.568,21.83,109.83,109.83,6589.5,6589.5
-86.18890010,40.98251243,AULT,HOME,BACK LANE44,On,733.08,12.22,7/9/2020,Yes,807.21,11.90,2.579,21.99,106.61,106.61,6396.7,6396.7
-86.18888651,40.98251280,AULT,HOME,BACK LANE44,On,896.81,14.95,7/9/2020,Yes,807.16,12.10,2.584,22.04,129.95,129.95,7796.7,7796.7
-86.18887277,40.98251331,AULT,HOME,BACK LANE44,On,881.29,14.69,7/9/2020,Yes,807.18,12.40,2.564,22.14,128.09,128.09,7685.4,7685.4
-86.18885857,40.98251384,AULT,HOME,BACK LANE44,On,967.34,16.12,7/9/2020,Yes,807.12,12.10,2.606,22.31,137.29,137.29,8237.2,8237.2
-86.18884428,40.98251419,AULT,HOME,BACK LANE44,On,817.27,13.62,7/9/2020,Yes,807.04,11.90,2.606,22.48,115.09,115.09,6905.5,6905.5
-86.18883062,40.98251443,AULT,HOME,BACK LANE44,On,963.93,16.07,7/9/2020,Yes,807.03,12.20,2.611,22.61,134.72,134.72,8083.5,8083.5
-86.18881680,40.98251441,AULT,HOME,BACK LANE44,On,870.07,14.50,7/9/2020,Yes,806.96,12.50,2.546,22.71,124.18,124.18,7450.9,7450.9
-86.18880329,40.98251441,AULT,HOME,BACK LANE44,On,875.22,14.59,7/9/2020,Yes,806.94,12.20,2.599,22.76,122.07,122.07,7324.4,7324.4
-86.18878970,40.98251444,AULT,HOME,BACK LANE44,On,964.46,16.07,7/9/2020,Yes,806.88,12.30,2.568,22.82,135.79,135.79,8147.3,8147.3
-86.18877592,40.98251431,AULT,HOME,BACK LANE44,On,959.08,15.98,7/9/2020,Yes,806.83,13.20,2.559,22.88,135.11,135.11,8106.9,8106.9
-86.18876214,40.98251404,AULT,HOME,BACK LANE44,On,936.78,15.61,7/9/2020,Yes,806.81,13.20,2.613,22.88,129.26,129.26,7755.7,7755.7
-86.18874819,40.98251398,AULT,HOME,BACK LANE44,On,706.44,11.77,7/9/2020,Yes,806.65,12.40,2.595,22.83,98.38,98.38,5902.6,5902.6
-86.18873439,40.98251395,AULT,HOME,BACK LANE44,On,923.91,15.40,7/9/2020,Yes,806.57,12.40,2.568,22.85,129.91,129.91,7794.6,7794.6
-86.18872058,40.98251399,AULT,HOME,BACK LANE44,On,1060.4,17.67,7/9/2020,Yes,806.47,13.00,2.586,22.85,148.05,148.05,8882.8,8882.8
-86.18870676,40.98251398,AULT,HOME,BACK LANE44,On,872.80,14.55,7/9/2020,Yes,806.39,12.80,2.613,22.87,120.52,120.52,7231.2,7231.2
-86.18869307,40.98251391,AULT,HOME,BACK LANE44,On,752.97,12.55,7/9/2020,Yes,806.31,12.40,2.595,22.87,104.67,104.67,6280.5,6280.5
-86.18867936,40.98251374,AULT,HOME,BACK LANE44,On,827.83,13.80,7/9/2020,Yes,806.19,12.50,2.590,22.87,115.30,115.30,6917.8,6917.8
-86.18866588,40.98251369,AULT,HOME,BACK LANE44,On,977.83,16.30,7/9/2020,Yes,806.16,13.00,2.611,22.81,135.45,135.45,8126.9,8126.9
-86.18865204,40.98251368,AULT,HOME,BACK LANE44,On,916.13,15.27,7/9/2020,Yes,806.08,13.00,2.561,22.78,129.56,129.56,7773.8,7773.8
-86.18863820,40.98251370,AULT,HOME,BACK LANE44,On,922.53,15.38,7/9/2020,Yes,806.01,12.40,2.595,22.76,128.89,128.89,7733.6,7733.6
-86.18862417,40.98251376,AULT,HOME,BACK LANE44,On,1022.1,17.04,7/9/2020,Yes,805.91,12.60,2.633,22.75,140.76,140.76,8445.8,8445.8
-86.18861070,40.98251389,AULT,HOME,BACK LANE44,On,814.21,13.57,7/9/2020,Yes,805.85,12.80,2.568,22.74,115.03,115.03,6901.9,6901.9
-86.18859737,40.98251420,AULT,HOME,BACK LANE44,On,900.81,15.01,7/9/2020,Yes,805.84,12.70,2.595,22.76,125.82,125.82,7549.4,7549.4
-86.18858382,40.98251457,AULT,HOME,BACK LANE44,On,873.62,14.56,7/9/2020,Yes,805.79,12.30,2.608,22.84,120.98,120.98,7258.7,7258.7
-86.18857051,40.98251493,AULT,HOME,BACK LANE44,On,729.49,12.16,7/9/2020,Yes,805.83,12.70,2.566,22.96,102.16,102.16,6129.8,6129.8
-86.18855687,40.98251518,AULT,HOME,BACK LANE44,On,820.87,13.68,7/9/2020,Yes,805.79,12.90,2.606,23.12,112.38,112.38,6742.9,6742.9
-86.18854333,40.98251505,AULT,HOME,BACK LANE44,On,802.90,13.38,7/9/2020,Yes,805.79,12.80,2.555,23.23,111.63,111.63,6697.8,6697.8
-86.18852968,40.98251429,AULT,HOME,BACK LANE44,On,804.98,13.42,7/9/2020,Yes,805.70,12.60,2.537,23.17,112.98,112.98,6778.8,6778.8
-86.18851606,40.98251298,AULT,HOME,BACK LANE44,On,610.32,10.17,7/9/2020,Yes,805.66,12.80,2.595,22.89,84.78,84.78,5087.0,5087.0
-86.18850300,40.98251118,AULT,HOME,BACK LANE44,On,633.57,10.56,7/9/2020,Yes,805.67,13.00,2.530,22.39,92.27,92.27,5536.0,5536.0
-86.18849217,40.98250915,AULT,HOME,BACK LANE44,On,464.73,7.745,7/9/2020,Yes,805.67,12.60,2.273,21.72,77.66,77.66,4659.6,4659.6
-86.18848138,40.98250662,AULT,HOME,BACK LANE44,On,344.26,5.738,7/9/2020,Yes,805.64,11.90,2.116,20.98,63.96,63.96,3837.6,3837.6
-86.18847267,40.98250449,AULT,HOME,BACK LANE44,On,233.63,3.894,7/9/2020,Yes,805.58,12.10,1.812,20.05,53.07,53.07,3183.9,3183.9
-86.18846475,40.98250290,AULT,HOME,BACK LANE44,On,207.08,3.451,7/9/2020,Yes,805.55,12.40,1.595,19.23,55.70,55.70,3341.8,3341.8
-86.18845553,40.98250123,AULT,HOME,BACK LANE44,On,165.04,2.751,7/9/2020,Yes,805.54,12.70,1.727,18.60,42.39,42.39,2543.6,2543.6
-86.18844508,40.98249971,AULT,HOME,BACK LANE44,On,106.67,1.778,7/9/2020,Yes,805.44,12.80,1.884,17.97,26.01,26.01,1560.4,1560.4
-86.18843507,40.98249852,AULT,HOME,BACK LANE44,On,143.41,2.390,7/9/2020,Yes,805.41,13.00,1.944,17.40,34.99,34.99,2099.3,2099.3
-86.18842486,40.98249770,AULT,HOME,BACK LANE44,On,81.06,1.351,7/9/2020,Yes,805.32,13.00,1.919,16.96,20.55,20.55,1232.8,1232.8
-86.18841475,40.98249760,AULT,HOME,BACK LANE44,On,51.40,0.857,7/9/2020,Yes,805.25,13.10,1.913,16.64,13.32,13.32,799.21,799.21
-86.18840488,40.98249789,AULT,HOME,BACK LANE44,On,135.34,2.256,7/9/2020,Yes,805.27,13.10,1.890,16.59,35.60,35.60,2135.8,2135.8
-86.18839476,40.98249909,AULT,HOME,BACK LANE44,On,254.95,4.249,7/9/2020,Yes,805.25,13.30,1.913,16.69,65.89,65.89,3953.7,3953.7
-86.18838416,40.98250088,AULT,HOME,BACK LANE44,On,373.61,6.227,7/9/2020,Yes,805.26,13.40,1.948,17.11,92.44,92.44,5546.7,5546.7
-86.18837297,40.98250261,AULT,HOME,BACK LANE44,On,682.15,11.37,7/9/2020,Yes,805.24,12.90,2.210,17.77,143.33,143.33,8599.8,8599.8
-86.18836147,40.98250398,AULT,HOME,BACK LANE44,On,656.87,10.95,7/9/2020,Yes,805.15,12.60,2.139,18.44,137.41,137.41,8244.8,8244.8
-86.18834922,40.98250472,AULT,HOME,BACK LANE44,On,587.20,9.787,7/9/2020,Yes,805.18,12.90,2.270,18.98,112.42,112.42,6745.1,6745.1
-86.18833668,40.98250524,AULT,HOME,BACK LANE44,On,512.92,8.549,7/9/2020,Yes,805.18,13.10,2.438,19.27,90.09,90.09,5405.1,5405.1
-86.18832375,40.98250568,AULT,HOME,BACK LANE44,On,337.28,5.621,7/9/2020,Yes,805.26,12.60,2.440,19.47,58.57,58.57,3514.5,3514.5
-86.18831012,40.98250603,AULT,HOME,BACK LANE44,On,183.60,3.060,7/9/2020,Yes,805.34,12.10,2.561,28.43,20.80,20.80,1248.1,1248.1
-86.18829503,40.98250619,AULT,HOME,BACK LANE44,On,114.58,1.910,7/9/2020,Yes,805.37,12.00,2.832,35.00,9.537,9.537,572.23,572.23
-86.18830245,40.98260376,AULT,HOME,BACK LANE44,On,774.18,12.90,7/9/2020,Yes,806.16,12.00,1.700,35.00,107.34,107.34,6440.4,6440.4
-86.18831104,40.98260355,AULT,HOME,BACK LANE44,On,783.40,13.06,7/9/2020,Yes,806.20,11.90,1.649,35.00,112.01,112.01,6720.5,6720.5
-86.18831995,40.98260316,AULT,HOME,BACK LANE44,On,744.82,12.41,7/9/2020,Yes,806.21,12.30,1.684,35.00,104.23,104.23,6253.8,6253.8
